LOC_ID                          OBSERVED            EXPECTED            ODE                 REL_RISK            
location28087 et al             9                   9.00                1.00                1.00                
location28136 et al             3                   3.00                1.00                1.00                
location28185 et al             5                   5.00                1.00                1.00                
location28234 et al             4                   4.00                1.00                1.00                
location28283 et al             6                   6.00                1.00                1.00                
location28332 et al             7                   7.00                1.00                1.00                
location28360 et al             6                   6.00                1.00                1.00                
location28393 et al             17                  17.00               1.00                1.00                
location2840 et al              7                   7.00                1.00                1.00                
location28442 et al             8                   8.00                1.00                1.00                
location28491 et al             5                   5.00                1.00                1.00                
location28540 et al             14                  14.00               1.00                1.00                
location28589 et al             9                   9.00                1.00                1.00                
location28638 et al             10                  10.00               1.00                1.00                
location28687 et al             11                  11.00               1.00                1.00                
location28735 et al             8                   8.00                1.00                1.00                
location28783 et al             5                   5.00                1.00                1.00                
location28831 et al             4                   4.00                1.00                1.00                
location28865 et al             6                   6.00                1.00                1.00                
location2889 et al              10                  10.00               1.00                1.00                
location28913 et al             4                   4.00                1.00                1.00                
location28962 et al             1                   1.00                1.00                1.00                
location29011 et al             4                   4.00                1.00                1.00                
location29060 et al             6                   6.00                1.00                1.00                
location29109 et al             6                   6.00                1.00                1.00                
location29158 et al             11                  11.00               1.00                1.00                
location29207 et al             7                   7.00                1.00                1.00                
location29254 et al             13                  13.00               1.00                1.00                
location29301 et al             7                   7.00                1.00                1.00                
location29348 et al             7                   7.00                1.00                1.00                
location2938 et al              6                   6.00                1.00                1.00                
location29395 et al             11                  11.00               1.00                1.00                
location29442 et al             4                   4.00                1.00                1.00                
location29489 et al             4                   4.00                1.00                1.00                
location29536 et al             9                   9.00                1.00                1.00                
location29584 et al             11                  11.00               1.00                1.00                
location296 et al               2                   2.00                1.00                1.00                
location29632 et al             4                   4.00                1.00                1.00                
location29681 et al             14                  14.00               1.00                1.00                
location29730 et al             14                  14.00               1.00                1.00                
location29779 et al             21                  21.00               1.00                1.00                
location29828 et al             12                  12.00               1.00                1.00                
location2987 et al              5                   5.00                1.00                1.00                
location29876 et al             9                   9.00                1.00                1.00                
location29922 et al             1                   1.00                1.00                1.00                
location29969 et al             1                   1.00                1.00                1.00                
location30016 et al             5                   5.00                1.00                1.00                
location30208 et al             3                   3.00                1.00                1.00                
location30257 et al             26                  26.00               1.00                1.00                
location30306 et al             10                  10.00               1.00                1.00                
location3034 et al              13                  13.00               1.00                1.00                
location30354 et al             10                  10.00               1.00                1.00                
location30403 et al             11                  11.00               1.00                1.00                
location30452 et al             23                  23.00               1.00                1.00                
location30467 et al             9                   9.00                1.00                1.00                
location30516 et al             12                  12.00               1.00                1.00                
location30565 et al             4                   4.00                1.00                1.00                
location30614 et al             1                   1.00                1.00                1.00                
location30621 et al             8                   8.00                1.00                1.00                
location30669 et al             14                  14.00               1.00                1.00                
location30718 et al             15                  15.00               1.00                1.00                
location30767 et al             9                   9.00                1.00                1.00                
location30816 et al             13                  13.00               1.00                1.00                
location3083 et al              18                  18.00               1.00                1.00                
location30865 et al             1                   1.00                1.00                1.00                
location30914 et al             9                   9.00                1.00                1.00                
location30962 et al             6                   6.00                1.00                1.00                
location31011 et al             9                   9.00                1.00                1.00                
location31060 et al             4                   4.00                1.00                1.00                
location31109 et al             12                  12.00               1.00                1.00                
location31158 et al             7                   7.00                1.00                1.00                
location31205 et al             7                   7.00                1.00                1.00                
location31246 et al             5                   5.00                1.00                1.00                
location31295 et al             11                  11.00               1.00                1.00                
location3132 et al              13                  13.00               1.00                1.00                
location31344 et al             5                   5.00                1.00                1.00                
location31392 et al             0                   0                   n/a                 n/a                 
location31441 et al             0                   0                   n/a                 n/a                 
location31489 et al             5                   5.00                1.00                1.00                
location31538 et al             1                   1.00                1.00                1.00                
location31587 et al             11                  11.00               1.00                1.00                
location31637 et al             3                   3.00                1.00                1.00                
location31686 et al             11                  11.00               1.00                1.00                
location31734 et al             5                   5.00                1.00                1.00                
location31783 et al             3                   3.00                1.00                1.00                
location3181 et al              10                  10.00               1.00                1.00                
location31832 et al             0                   0                   n/a                 n/a                 
location31881 et al             11                  11.00               1.00                1.00                
location31929 et al             11                  11.00               1.00                1.00                
location31978 et al             3                   3.00                1.00                1.00                
location32027 et al             8                   8.00                1.00                1.00                
location32076 et al             8                   8.00                1.00                1.00                
location32174 et al             4                   4.00                1.00                1.00                
location32223 et al             0                   0                   n/a                 n/a                 
location32272 et al             7                   7.00                1.00                1.00                
location3230 et al              0                   0                   n/a                 n/a                 
location32321 et al             6                   6.00                1.00                1.00                
location32370 et al             9                   9.00                1.00                1.00                
location32419 et al             7                   7.00                1.00                1.00                
location32468 et al             1                   1.00                1.00                1.00                
location32517 et al             5                   5.00                1.00                1.00                
location32565 et al             8                   8.00                1.00                1.00                
location32614 et al             5                   5.00                1.00                1.00                
location32663 et al             5                   5.00                1.00                1.00                
location32712 et al             9                   9.00                1.00                1.00                
location32761 et al             13                  13.00               1.00                1.00                
location3278 et al              14                  14.00               1.00                1.00                
location32810 et al             1                   1.00                1.00                1.00                
location32859 et al             6                   6.00                1.00                1.00                
location32908 et al             7                   7.00                1.00                1.00                
location32957 et al             6                   6.00                1.00                1.00                
location33006 et al             4                   4.00                1.00                1.00                
location33055 et al             0                   0                   n/a                 n/a                 
location33104 et al             2                   2.00                1.00                1.00                
location33106 et al             18                  18.00               1.00                1.00                
location33154 et al             6                   6.00                1.00                1.00                
location33202 et al             7                   7.00                1.00                1.00                
